"Carimbo de data/hora","Você utiliza o estacionamento da UFABC?","Em qual campus você estaciona?","Selecione os períodos e dias da semana nos quais você utiliza o estacionamento [Manhã]","Selecione os períodos e dias da semana nos quais você utiliza o estacionamento [Tarde]","Selecione os períodos e dias da semana nos quais você utiliza o estacionamento [Noite]","Em qual horário de chegada você encontra maior dificuldade em estacionar?","Em média, quanto tempo você aguarda na fila do estacionamento?","Você acha que o seu tempo de espera poderia ser reduzido com alguma melhoria no controle de vagas?","Você se sente seguro estacionando fora da faculdade?","Quais informações sobre o estacionamento da UFABC você gostaria ter em mãos, em um aplicativo?","Adicione sugestões e comentários",""
"2019/07/10 11:12:31 PM GMT-3","Sim","UFABC - Santo André","","Segunda;Terça;Quarta;Quinta;Sexta","Segunda;Quarta;Quinta;Sexta","15:30","Entre 30 min e 1 hora","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","Os maiores picos de fila são quando as pessoas chegam do estágio, pois a maioria sai às 15h, assim chegamos 15h20 - 15h30 ou só depois das 16h na UFABC, muitos TAs saem as 16h, é visível que o estacionamento está cheio de vagas, mas o de alunos lotado. Liberar duas fileiras inteiras já melhoraria muito a situação, pois as 16h a fila já fica mais curta pois algumas aulas acabam nesse horário. Liberar as vagas só 17h30 não faz sentido.",""
"2019/07/10 11:15:35 PM GMT-3","Sim","UFABC - Santo André","","","Terça;Quarta;Quinta;Sexta","18:45","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 11:19:18 PM GMT-3","Sim","UFABC - São Bernardo do Campo","","Terça","Terça","18:00","Entre 0 e 5 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Informações sobre estacionamentos próximos ao campus;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","Não tive problema para estacionar em São Bernardo, pois uso em horários fora de pico, mas quando saio sempre a vaga é ocupada instantaneamente.",""
"2019/07/10 11:26:23 PM GMT-3","Sim","UFABC - Santo André","Segunda;Quinta;Sexta","Segunda;Terça;Quarta;Quinta;Sexta","Segunda;Terça;Quarta;Quinta;Sexta","18:30","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Horários de pico de uso do estacionamento","",""
"2019/07/10 11:27:44 PM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Sexta","19:00","Entre 30 min e 1 hora","Não","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 11:39:51 PM GMT-3","Não","","","","","","","","","","",""
"2019/07/10 11:46:42 PM GMT-3","Sim","UFABC - São Bernardo do Campo","","Segunda;Terça;Quarta;Quinta;Sexta","Segunda;Terça;Quarta;Quinta;Sexta","19:00","Entre 0 e 5 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Probabilidade de conseguir estacionar em determinado horário;Horários de pico de uso do estacionamento;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/10 11:52:09 PM GMT-3","Sim","UFABC - Santo André","","Sexta","","16:00","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Horários de pico de uso do estacionamento","",""
"2019/07/11 12:23:57 AM GMT-3","Sim","UFABC - Santo André","","","Segunda;Terça;Quarta;Quinta;Sexta","17:20","Entre 15 e 30 min","Sim","Não","Quantidade de vagas disponíveis em tempo real;Tempo médio de espera na fila em tempo real;Monitoramento de carros estacionados de forma errada (alerta ao motorista)","",""
"2019/07/11 12:24:50 AM GMT-3","Sim","UFABC - São Bernardo do Campo","Segunda;Terça;Quarta;Quinta;Sexta","Segunda;Terça;Quarta;Quinta;Sexta","","08:30","Entre 0 e 5 min","Sim","Não","Quantidade de vagas disponíveis em tempo real","",""
